Wavelength (nm),POM,POM.01,POM.02,POM.03,POM.04,POM.05,POM.06,POM.07,POM.08,POM.09,POM.10,POM.11,POM.12,POM.13,POM.14,POM.15,PETG,PETG.01,PETG.02,PETG.03,PETG.04,PETG.05,PETG.06,PETG.07,PETG.08,PETG.09,PETG.10,PETG.11,PETG.12,PETG.13,PETG.14,PETG.15,PETG.16,PETG.17,PETG.18,PETG.19,PETG.20,PETG.21,PETG.22,PETG.23,PETG.24,PETG.25,PET,PET.01,PET.02,PET.03,PET.04,PET.05,PET.06,PET.07,PET.08,PET.09,PMMA,PMMA.01,PMMA.02,PMMA.03,PMMA.04,PMMA.05,PMMA.06,PMMA.07,PMMA.08,PMMA.09,PMMA.10,PMMA.11,PMMA.12,PMMA.13,PMMA.14,PMMA.15,PMMA.16,PMMA.17,PMMA.18,PMMA.19,PMMA.20,PMMA.21,PMMA.22,PMMA.23,PMMA.24,PMMA.25,PMMA.26,PMMA.27,PVC,PVC.01,PVC.02,PVC.03,PVC.04,PVC.05,PVC.06,PVC.07,PVC.08,PVC.09,PVC.10,PVC.11,PVC.12,PVC.13,PVC.14,PVC.15,PVC.16,PVC.17,PVC.18,PVC.19,PVC.20,PVC.21,PVC.22,PVC.23,PVC.24,PVC.25,PVC.26,HDPE,HDPE.01,HDPE.02,HDPE.03,HDPE.04,HDPE.05,HDPE.06,HDPE.07,HDPE.08,HDPE.09,HDPE.10,HDPE.11,HDPE.12,HDPE.13,HDPE.14,HDPE.15,HDPE.16,HDPE.17,HDPE.18,HDPE.19,HDPE.20,HDPE.21,HDPE.22,HDPE.23,LDPE,LDPE.01,LDPE.02,LDPE.03,LDPE.04,LDPE.05,PP,PP.01,PP.02,PP.03,PP.04,PP.05,PP.06,PP.07,PP.08,PP.09,PP.10,PP.11,PP.12,PP.13,PP.14,PP.15,PP.16,PP.17,PP.18,PP.19,PP.20,PP.21,PP.22,PP.23,PP.24,PP.25,PP.26,PP.27,PP.28,PP.29,PP.30,PP.31,PP.32,PP.33,PP.34,PA66,PA66.01,PA66.02,PA66.03,PA66.04,PA66.05,PA6,PA6.01,PA6.02,PA6.03,PA6.04,PA6.05,PA6.06,PA6.07,PA6.08,PA6.09,PA6.10,PA6.11,PA6.12,PA6.13,PA6.14,PA6.15,PA6.16,PA66.06,PA66.07,PA66.08,PA66.09,PA66.10,PS,PS.01,PS.02,PS.03,PS.04,PS.05,PS.06,PS.07,PS.08,PS.09,PS.10,PS.11,PS.12,PS.13,PS.14,PS.15,PS.16,PS.17,PS.18,PS.19,PS.20,PET.10,PET.11,PET.12,PET.13,PET.14,PET.15,PET.16,PET.17,PET.18,PET.19,PET.20,PET.21,PET.22,PET.23,PET.24,PET.25,PET.26,PET.27,PET.28,PET.29,PET.30,PET.31,PET.32,PET.33,PET.34,PET.35,PET.36,PLA,PLA.01,PLA.02,PLA.03,PLA.04,PLA.05,PLA.06,PLA.07,PLA.08,PLA.09,PLA.10,PLA.11,PLA.12,PLA.13,PLA.14,PLA.15,PLA.16,PLA.17,PLA.18,PLA.19,PLA.20,PLA.21,TPU,TPU.01,TPU.02,TPU.03,TPU.04,TPU.05,TPU.06,TPU.07,TPU.08,TPU.09,TPU.10,TPU.11,TPU.12,TPU.13,TPU.14,ABS,ABS.01,ABS.02,ABS.03,ABS.04,ABS.05,ABS.06,ABS.07,ABS.08,ABS.09,ABS.10,ABS.11,ABS.12,ABS.13,ABS.14,ABS.15,PC,PC.01,PC.02,PC.03,PC.04,PC.05,PC.06,PC.07,PC.08,PC.09,PC.10,PC.11,PC.12,PC.13,PC.14,PC.15,PC.16,PC.17,PC.18,PC.19,PC.20,PC.21,PC.22,PC.23,PC.24,PC.25,PC.26,PC.27,PC.28,PC.29,PC.30,PC.31,PC.32
1550.0,45768,25582,41604,45069,44843,41211,44740,44183,43589,43745,39578,42716,47852,45106,44270,36493,61177,61057,60989,60984,60829,44602,45293,42296,41722,38078,60949,60929,61475,60784,60765,47015,41603,43995,44223,41032,60925,60971,60906,60683,60864,60554,58673,60412,60630,60463,60250,59633,60075,60132,60233,59896,53352,52849,35886,44716,42971,50143,54203,42766,54603,48868,62082,62334,48020,40464,41561,47839,43894,48682,47160,41385,33616,58063,40002,41204,46046,21775,39474,41473,62393,62234,61872,62224,61662,0,0,0,0,0,32951,30367,26162,32003,29554,30118,31057,33413,41837,39807,35825,44784,45234,44468,28066,42783,49174,34096,32033,35467,34070,25782,35272,35338,32868,29752,25251,0,0,0,0,0,0,51611,45768,52532,51703,37797,51596,37524,34160,55760,51973,54040,54515,53416,53467,0,0,0,0,0,0,0,48677,53227,50088,46713,50248,42277,37374,55055,56225,56368,56184,58272,56018,55744,52921,52052,52460,50998,51448,51280,35352,33791,35554,36419,30908,31354,34677,34702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54330,55363,55344,55050,54912,54800,23764,37298,21333,25531,16914,58415,58408,58209,57632,58318,55127,54978,54340,54246,53826,60086,60488,0,58962,59598,58520,58436,59054,58487,59733,60716,60771,59957,60790,60296,60380,0,0,0,0,0,53749,54953,56924,49971,51649,48479,0,0,0,0,0,56136,56155,56565,58476,56383,56196,53177,52079,50367,47647,49149,26456,11224,27408,59264,26369,18523,29436,37256,25798,38291,23594,36575,29578,38931,29593,21767,35984,25770,34333,27651,25377,52878,48359,46285,37892,40827,47678,43011,37863,46827,51394,48939,46908,48819,34151,47676,46210,64138,64144,64059,63992,63730,64178,64212,63910,64409,64005,64121,64105,64080,63923,63968,64080,64011,64072,64036,64509,64018,64118,64083,64023,63168,63905,63834,64173,64130,64072,63817,64136,63636
1553.1496062992126,46525,26790,42356,45902,45723,42119,45573,45015,44485,44666,40504,43520,48567,45927,45172,37528,61382,61271,61206,61202,61051,45112,45769,42981,42373,38699,61165,61153,61666,61011,60993,47441,42193,44501,44789,41715,61141,61184,61125,60906,61083,60791,58689,60425,60638,60506,60278,59751,60111,60180,60241,59935,53703,52863,36829,45399,43512,50824,54805,44096,55496,49961,62377,62626,48937,41452,42141,47935,44714,49587,48078,42390,34717,57121,41265,42213,47066,23318,40643,40186,62321,62274,61980,62307,61803,1124,1339,1091,1099,1286,33908,31409,27264,32970,30635,31157,32178,34170,42700,40967,36818,45609,46033,45309,29299,43714,48717,34851,32691,36226,34850,26701,36007,36122,33841,30678,26294,931,842,994,1123,1104,1061,52140,45397,53051,52212,37905,52120,37806,34662,56262,52545,54565,55041,53949,54004,1048,1012,1112,981,781,901,1236,49069,53635,50472,47086,50674,42658,37976,55747,56918,57055,56943,58940,56740,56526,53400,52549,52934,51495,52023,51879,36055,34533,36428,37197,31783,32100,35375,35531,795,1084,1024,936,502,1045,782,911,772,776,796,775,944,987,977,1127,1019,768,792,915,891,959,1178,1097,948,1152,1280,1324,54943,56052,56024,55745,55625,55508,24076,37757,22100,25949,18109,59149,59121,58951,58366,59049,55994,55849,55262,55200,54829,60139,60502,1179,59071,59699,58540,58456,59044,58513,59721,60715,60783,59998,60792,60283,60393,1208,998,953,1418,1264,54505,55487,57520,50598,52236,49213,1081,1126,1104,1219,1312,56856,56823,57168,59177,57089,56951,53877,52800,51138,48364,49960,27126,11724,28193,58611,26881,19853,30475,37973,26944,39003,24697,37320,30590,39600,30485,22881,36807,26959,35122,28745,26536,53810,49127,47172,38682,41821,48469,44070,38792,47680,52247,49850,48021,49803,35334,48719,47159,64204,64212,64128,64063,63806,64238,64273,63985,64456,64078,64189,64172,64147,63990,64040,64142,64073,64127,64097,64558,64080,64169,64141,64081,63252,63970,63902,64221,64186,64138,63889,64193,63710
1556.2992125984251,47667,28645,43696,47111,47010,43603,46819,46269,45869,46045,42087,44860,49544,47121,46508,39313,61502,61407,61348,61346,61204,46318,46899,44474,43833,40357,61306,61303,61762,61172,61156,48469,43590,45783,46092,43263,61283,61322,61272,61064,61231,60968,58581,60334,60541,60445,60213,59784,60045,60125,60145,59886,54425,53335,38418,46736,44985,51989,55568,46007,56623,51520,62575,62816,50259,43131,43581,48737,46157,50892,49419,44112,36915,56565,43148,43675,48424,26334,42477,40844,62407,62516,62308,62591,62175,4425,5006,4265,4339,4750,35857,33598,29530,34957,32834,33263,34283,36120,44177,42881,38655,46944,47312,46657,31420,45267,49608,36684,34526,37963,36690,29072,37755,37952,36046,32842,28895,3902,3715,4106,4378,4240,4210,52944,45849,53848,53003,39234,52924,39287,36567,56996,53372,55336,55818,54733,54805,4077,4071,4346,4051,3671,3660,4579,50017,54341,51291,48060,51547,43959,39641,56682,57795,57927,57879,59690,57654,57497,54216,53402,53750,52361,52977,52879,37751,36322,38329,39011,33872,33979,37124,37324,2972,3754,3673,3502,2362,3637,2888,3348,2841,2953,3016,2960,3234,3390,3392,3757,3565,2949,2952,3215,3283,3422,3951,3901,3372,4059,4312,4638,56011,57263,57225,56967,56880,56758,26355,39450,24570,28251,20982,60176,60134,60004,59456,60095,57295,57169,56669,56616,56299,60098,60393,4722,59128,59723,58489,58415,58946,58475,59583,60592,60674,59949,60673,60143,60300,4784,4208,4103,5203,5038,55449,56192,58093,51594,53150,50471,4457,4492,4504,4683,4948,57870,57811,58097,60037,58137,57976,55024,53990,52435,49821,51356,29537,14536,30670,58323,29258,22993,32289,39389,28832,40412,26814,38726,32386,40945,32322,25306,38337,28933,36691,30639,28673,55164,50671,48763,40660,43838,50079,45988,40907,49353,53695,51459,49813,51456,37895,50498,49007,64204,64216,64133,64073,63830,64233,64264,64004,64429,64091,64192,64174,64152,63996,64054,64142,64074,64118,64096,64534,64082,64147,64134,64076,63293,63976,63915,64201,64180,64139,63907,64183,63733
1559.4488188976377,49123,31036,45509,48625,48619,45545,48397,47861,47643,47784,44198,46628,50741,48618,48190,41697,61598,61524,61473,61475,61346,48121,48598,46647,45977,42887,61432,61439,61828,61321,61310,50021,45676,47726,48018,45541,61408,61446,61406,61214,61364,61143,58429,60231,60431,60364,60144,59809,59968,60054,60034,59836,55462,54202,40572,48608,47216,53546,56473,48377,57928,53436,62715,62942,51907,45378,45732,50146,48108,52520,51107,46416,39995,56322,45526,45526,50061,30539,44852,43065,62613,62912,62802,63029,62718,9508,10529,9153,9323,9964,38609,36707,32740,37772,35930,36238,37170,39019,46151,45386,41176,48688,48973,48405,34249,47305,51568,39360,37286,40464,39363,32589,40303,40595,39195,35989,32703,8552,8245,8924,9351,9034,9079,53941,46981,54836,53991,41546,53925,41730,39579,57885,54380,56274,56767,55690,55791,8735,8807,9311,8818,8266,7963,9614,51429,55307,52490,49555,52798,46014,42174,57814,58821,58950,58954,60506,58723,58618,55322,54561,54859,53549,54250,54215,40270,38984,41060,41669,36965,36800,39736,39919,6313,7698,7653,7412,5379,7518,6095,7024,5993,6288,6409,6315,6622,6947,6980,7586,7354,6304,6249,6631,6909,7119,8005,8092,7015,8384,8745,9544,57357,58797,58750,58519,58476,58346,30217,42106,28402,32057,25163,61383,61337,61251,60773,61336,58890,58793,58403,58345,58084,60046,60253,10157,59212,59746,58461,58404,58860,58466,59415,60445,60537,59898,60529,59974,60192,10243,9221,9056,10864,10827,56558,57062,58681,52919,54355,52163,9690,9669,9767,9947,10450,59095,59028,59263,61000,59421,59194,56503,55538,54142,51846,53202,33303,19198,34458,58326,33082,27535,34746,41390,31339,42400,29768,40687,34831,42854,34935,28794,40449,31551,38909,33195,31609,56823,52798,50894,43557,46641,52307,48549,43945,51633,55570,53576,52089,53594,41502,52812,51518,64181,64195,64116,64064,63841,64204,64228,64006,64371,64083,64172,64152,64137,63983,64049,64121,64055,64086,64073,64479,64064,64097,64105,64050,63331,63966,63912,64156,64152,64118,63908,64149,63743
1562.5984251968505,50797,33818,47644,50348,50438,47794,50204,49686,49675,49758,46666,48686,52098,50325,50104,44479,61743,61692,61650,61654,61543,50384,50743,49320,48636,46060,61611,61628,61937,61527,61520,51988,48286,50170,50411,48359,61587,61622,61593,61422,61552,61377,58331,60225,60416,60364,60176,59915,59985,60071,60015,59889,56739,55380,43183,50862,49974,55369,57496,51043,59333,55568,62840,63049,53779,48031,48394,52027,50412,54367,53039,49123,43670,56295,48230,47675,51899,35561,47599,46340,62890,63399,63389,63554,63354,15841,17285,15261,15529,16369,41911,40432,36605,41158,39630,39820,40573,42546,48465,48264,44169,50704,50886,50412,37549,49650,54228,42571,40643,43448,42575,36848,43370,43749,42916,39779,37261,14403,13941,14906,15502,14988,15177,55025,48611,55904,55073,44530,55017,44824,43303,58829,55474,57281,57783,56722,56859,14556,14726,15490,14765,14033,13391,15794,53182,56482,53993,51459,54333,48601,45315,59081,59946,60071,60115,61366,59891,59833,56650,55956,56196,54986,55763,55799,43388,42282,44359,44913,40777,40301,42963,43094,10522,12503,12569,12284,9280,12342,10109,11560,9946,10456,10648,10523,10777,11307,11394,12215,12009,10511,10377,10808,11414,11688,12927,13245,11535,13680,14114,15517,58757,60409,60352,60151,60160,60023,35158,45372,33150,36870,30167,62631,62585,62541,62158,62621,60597,60533,60262,60191,59988,60081,60188,16861,59412,59854,58568,58531,58906,58594,59331,60388,60484,59951,60473,59888,60182,16948,15497,15287,17757,17979,57801,58082,59327,54512,55797,54169,16203,16087,16321,16425,17212,60421,60357,60550,61993,60807,60502,58167,57299,56103,54216,55324,37925,25100,39058,58522,37814,32952,37668,43817,34298,44807,33320,43064,37742,45177,38098,33012,42974,34620,41602,36229,35106,58638,55256,53347,47027,49918,54889,51476,47560,54250,57654,55954,54602,55977,45726,55403,54390,64182,64199,64123,64083,63884,64199,64214,64038,64333,64102,64177,64154,64147,63998,64072,64128,64062,64082,64078,64442,64073,64071,64103,64051,63411,63985,63940,64136,64150,64123,63941,64141,63787
1565.748031496063,52586,36832,49937,52176,52349,50182,52126,51629,51823,51831,49306,50881,53554,52140,52124,47439,62000,61971,61939,61946,61853,52940,53182,52282,51605,49606,61902,61929,62158,61844,61842,54232,51224,52921,53085,51493,61879,61911,61892,61746,61853,61725,58374,60412,60594,60535,60405,60183,60193,60269,60184,60134,58166,56770,46121,53320,52996,57318,58606,53824,60753,57756,62995,63186,55759,50904,51340,54216,52897,56318,55098,52031,47623,56374,51074,50019,53848,40975,50529,50100,63186,63908,63992,64100,64001,22832,24592,22037,22373,23343,45482,44437,40796,44829,43610,43709,44196,46347,50943,51277,47396,52839,52905,52523,41062,52105,57181,45984,44240,46612,46002,41406,46652,47086,46808,43842,42074,20921,20255,21458,22229,21548,21955,56089,50533,56940,56138,47839,56088,48224,47311,59726,56555,58256,58761,57727,57902,21021,21281,22303,21319,20390,19472,22517,55133,57801,55700,53636,56041,51470,48769,60407,61110,61228,61298,62237,61094,61074,58119,57500,57679,56588,57417,57525,46845,45941,47934,48454,44979,44187,46519,46599,15262,17717,17979,17687,13754,17717,14597,16533,14378,15095,15362,15226,15334,16087,16242,17204,17111,15209,14987,15357,16399,16726,18258,18885,16547,19451,19904,21972,59993,61852,61786,61615,61679,61535,40616,48868,38318,42141,35472,63771,63732,63722,63444,63793,62227,62194,62035,61954,61805,60290,60299,24146,59807,60127,58908,58893,59187,58953,59433,60527,60617,60199,60609,59992,60367,24200,22429,22210,25171,25768,59132,59224,60066,56294,57404,56343,23351,23116,23531,23469,24565,61734,61675,61838,62942,62156,61791,59857,59116,58149,56690,57531,42866,31578,43933,58801,42868,38669,40853,46490,37518,47450,37201,45692,40913,47738,41555,37587,45724,37926,44566,39528,38897,60446,57777,55888,50691,53332,57543,54469,51375,56916,59721,58333,57092,58355,50106,58000,57301,64249,64267,64199,64169,63998,64261,64267,64138,64360,64188,64248,64223,64224,64084,64162,64201,64140,64148,64151,64468,64152,64116,64170,64123,63571,64074,64040,64186,64217,64195,64044,64202,63904
1568.8976377952756,54392,39924,52234,54012,54240,52554,54055,53578,53953,53877,51938,53072,55046,53967,54133,50369,62406,62396,62374,62382,62310,55607,55746,55307,54666,53242,62340,62376,62531,62306,62308,56598,54275,55768,55840,54703,62319,62346,62337,62216,62301,62217,58615,60854,61026,60932,60886,60661,60650,60704,60599,60626,59651,58273,49242,55809,56024,59254,59768,56542,62100,59847,63217,63388,57730,53811,54341,56541,55394,58257,57166,54938,51543,56449,53878,52446,55817,46368,53453,53786,63452,64378,64544,64604,64585,29898,31793,28934,29289,30288,49045,48391,44991,48505,47553,47613,47756,50082,53411,54194,50620,54944,54890,54588,44536,54482,60037,49289,47746,49674,49343,45848,49860,50304,50499,47826,46678,27577,26655,28012,28953,28175,28869,57039,52553,57847,57091,51142,57044,51598,51198,60493,57536,59112,59610,58620,58829,27619,27936,29186,27924,26783,25745,29205,57134,59190,57506,55935,57807,54370,52240,61710,62247,62353,62435,63082,62260,62269,59637,59100,59219,58258,59109,59278,50379,49685,51492,51999,49241,48155,50118,50174,20188,22902,23446,23195,18490,23247,19227,21532,18970,19852,20188,20068,19937,20910,21146,22133,22251,20034,19734,19905,21472,21838,23554,24548,21672,25217,25624,28346,60895,62928,62855,62713,62829,62680,46048,52239,43438,47341,40588,64681,64652,64663,64490,64719,63617,63607,63539,63458,63357,60726,60648,31354,60439,60610,59541,59545,59768,59599,59791,60928,61001,60699,61005,60352,60810,31330,29426,29246,32427,33490,60493,60443,60911,58168,59089,58534,30506,30145,30777,30459,31859,62930,62874,63015,63782,63345,62964,61434,60842,60119,59048,59644,47624,38001,48586,59058,47706,44157,44098,49225,40808,50145,41140,48404,44135,50363,45051,42156,48508,41259,47598,42883,42714,62097,60116,58298,54198,56568,60010,57256,55032,59371,61571,60483,59330,60503,54216,60358,59959,64406,64425,64365,64346,64205,64414,64411,64327,64479,64363,64408,64383,64391,64265,64342,64366,64310,64309,64319,64583,64323,64262,64331,64289,63833,64258,64233,64333,64376,64358,64240,64358,64117
1572.0472440944882,56133,42964,54408,55776,56023,54780,55901,55445,55953,55794,54415,55140,56524,55727,56033,53097,62961,62966,62952,62960,62907,58200,58260,58180,57604,56699,62921,62965,63057,62906,62911,58923,57228,58503,58482,57757,62904,62926,62924,62828,62891,62845,59063,61554,61716,61560,61621,61350,61360,61382,61267,61365,61101,59792,52403,58175,58830,61050,60941,59038,63295,61708,63524,63674,59591,56580,57189,58830,57754,60078,59134,57662,55163,56423,56486,54847,57722,51376,56206,56920,63653,64760,64992,65017,65049,36531,38347,35477,35796,36704,52364,52014,48910,51940,51190,51272,51016,53467,55716,56825,53635,56892,56719,56481,47764,56622,62466,52238,50895,52414,52353,49833,52759,53162,53702,51441,50706,33913,32690,34100,35191,34403,35443,57811,54504,58560,57866,54165,57819,54671,54634,61075,58360,59793,60271,59342,59577,33906,34230,35654,34109,32753,31803,35375,59047,60571,59300,58204,59520,57078,55465,62909,63291,63379,63461,63859,63321,63349,61110,60657,60723,59900,60734,60947,53752,53259,54779,55293,53262,51933,53505,53584,24989,27694,28591,28434,23203,28576,23702,26205,23438,24420,24811,24734,24285,25459,25781,26655,27082,24665,24313,24141,26287,26679,28440,29833,26576,30572,30861,34163,61375,63524,63446,63329,63491,63341,50998,55206,48117,52034,45128,65278,65262,65276,65198,65310,64652,64655,64646,64579,64520,61391,61246,37933,61301,61300,60464,60483,60650,60528,60415,61600,61645,61453,61668,60978,61516,37789,35974,35894,38961,40548,61819,61679,61848,60025,60752,60591,37131,36659,37532,36876,38551,63930,63873,63999,64469,64291,63947,62789,62361,61875,61112,61516,51805,43853,52626,59200,51904,48993,47220,51856,43998,52726,44899,51047,47223,52888,48362,46402,51158,44435,50510,46105,46326,63473,62082,60405,57268,59376,62089,59626,58245,61420,63061,62234,61154,62261,57725,62297,62145,64651,64668,64618,64608,64498,64656,64646,64600,64691,64624,64655,64632,64643,64536,64607,64619,64570,64563,64576,64786,64584,64507,64584,64547,64190,64531,64515,64576,64624,64610,64523,64606,64421
1575.1968503937007,57751,45856,56373,57413,57639,56775,57601,57168,57748,57516,56632,57007,57947,57365,57758,55503,63623,63635,63628,63635,63600,60552,60561,60714,60232,59745,63601,63649,63695,63600,63607,61052,59893,60937,60838,60453,63588,63604,63608,63536,63580,63561,59674,62452,62606,62365,62549,62198,62265,62247,62131,62288,62436,61242,55463,60296,61237,62609,62081,61193,64274,63244,63912,64042,61257,59075,59718,60930,59862,61698,60913,60061,58288,56221,58784,57126,59490,55725,58659,59152,63767,65026,65306,65311,65362,42354,43881,41308,41543,42238,55265,55101,52344,54953,54328,54490,53810,56308,57743,59035,56285,58588,58307,58111,50601,58419,64244,54677,53524,54694,54877,53138,55196,55514,56242,54493,53927,39582,38035,39402,40600,39896,41319,58381,56272,59060,58437,56716,58390,57250,57402,61458,59002,60278,60725,59872,60123,39554,39827,41349,39538,37989,37341,40691,60760,61869,60977,60303,61087,59424,58240,63934,64181,64247,64318,64525,64215,64251,62453,62084,62106,61424,62199,62434,56775,56457,57607,58139,56801,55305,56482,56638,29414,31840,33129,33119,27666,33423,27795,30295,27561,28571,28994,28983,28161,29508,29911,30534,31352,28852,28489,27854,30587,30995,32651,34448,31009,35228,35327,39085,61441,63634,63553,63457,63652,63506,55144,57599,52090,55917,48851,65535,65535,65535,65535,65535,65285,65290,65304,65265,65240,62229,62040,43503,62330,62143,61610,61637,61763,61671,61255,62487,62495,62403,62544,61815,62427,43209,41700,41780,44391,46516,63038,62861,62829,61752,62292,62386,42838,42290,43415,42360,44255,64689,64629,64742,64980,64955,64696,63860,63595,63323,62775,63050,55168,48789,55816,59160,55206,52917,50077,54249,46955,55062,48292,53495,50034,55186,51318,50096,53548,47321,53155,49048,49558,64501,63568,62102,59727,61599,63664,61460,60825,62959,64125,63503,62488,63549,60436,63722,63743,64951,64965,64927,64924,64843,64954,64939,64923,64965,64936,64956,64936,64948,64866,64924,64926,64888,64878,64892,65046,64900,64822,64896,64866,64606,64861,64851,64883,64929,64918,64859,64914,64780
1578.3464566929133,59214,48547,58088,58894,59064,58498,59123,58714,59300,59016,58534,58635,59288,58851,59275,57531,64311,64325,64323,64329,64308,62527,62510,62767,62402,62210,64302,64348,64363,64308,64315,62852,62118,62923,62777,62637,64293,64303,64309,64259,64288,64286,60355,63436,63582,63241,63554,63106,63253,63189,63079,63280,63588,62553,58291,62088,63132,63861,63141,62930,64991,64398,64354,64462,62673,61199,61817,62715,61646,63058,62439,62041,60807,55796,60707,59201,61069,59249,60731,60291,63787,65165,65482,65480,65518,47150,48221,46215,46340,46715,57649,57542,55170,57439,56862,57147,56056,58512,59422,60762,58475,59979,59605,59435,52976,59821,65263,56552,55574,56470,56853,55671,57109,57312,58074,56896,56264,44379,42518,43769,45013,44465,46279,58765,57795,59369,58820,58704,58771,59243,59416,61666,59475,60587,60993,60227,60482,44371,44538,46072,44035,42347,42174,44994,62193,63019,62449,62117,62437,61304,60440,64729,64868,64911,64961,65043,64897,64929,63593,63306,63299,62754,63432,63662,59320,59140,59863,60421,59702,58127,58924,59206,33292,35219,36894,37079,31719,37603,31358,33665,31199,32171,32598,32662,31448,32935,33405,33664,34923,32439,32114,30943,34218,34637,36052,38229,34820,39035,38883,42941,61198,63352,63269,63190,63406,63267,58322,59365,55234,58848,51680,65479,65494,65466,65523,65419,65535,65535,65535,65535,65535,63136,62926,47884,63410,63037,62850,62879,62977,62902,62202,63476,63439,63433,63520,62752,63429,47426,46392,46685,48546,51173,64076,63908,63779,63242,63609,63819,47421,46849,48220,46739,48780,65196,65139,65231,65316,65348,65199,64633,64512,64409,63998,64199,57637,52657,58089,58903,57540,55846,52580,56315,49594,57068,51208,55660,52480,57169,53818,53109,55600,49844,55434,51624,52306,65164,64552,63354,61518,63187,64710,62734,62700,63981,64774,64295,63347,64372,62301,64634,64743,65248,65258,65233,65233,65181,65249,65235,65237,65247,65242,65252,65238,65248,65193,65234,65231,65204,65196,65207,65307,65214,65150,65209,65187,65020,65188,65183,65196,65232,65225,65190,65223,65136
