Wavelength (nm),HDPE,HDPE.01,HDPE.02,LDPE,LDPE.01,LDPE.02,LDPE.03,LDPE.04,PMMA,PMMA.01,PMMA.02,PVC,PVC.01,PVC.02,PA6,PA6.01,PA6.02,PA66,PA66.01,PA66.02,PC,PC.01,PC.02,ABS,ABS.01,ABS.02,PP,PP.01,PP.02,PET,PET.01,PET.02,PS,PS.01,PS.02,HDPE.26,HDPE.1,HDPE.2,HDPE.3,HDPE.4,HDPE.5,HDPE.6,HDPE.7,HDPE.8,HDPE.9,HDPE.10,HDPE.11,HDPE.15,HDPE.16,HDPE.17,HDPE.18,HDPE.19,LDPE.5,LDPE.6,LDPE.7,LDPE.8,LDPE.9,HDPE.20,HDPE.21,HDPE.22,HDPE.23,HDPE.24,LDPE.10,LDPE.11,LDPE.12,LDPE.13,LDPE.14,PMMA.3,PMMA.4,PMMA.5,PMMA.6,PMMA.7,PMMA.8,PMMA.9,PMMA.10,PMMA.11,PMMA.12,PMMA.13,PMMA.14,PMMA.15,PMMA.16,PMMA.17,PMMA.18,PMMA.19,PMMA.20,PMMA.21,PMMA.22,PMMA.23,PMMA.24,PMMA.25,PMMA.26,PMMA.27,PMMA.28,PMMA.29,PMMA.30,PMMA.31,PMMA.32,PMMA.33,PMMA.34,PMMA.35,PMMA.36,PMMA.37,PMMA.38,PMMA.39,PMMA.40,PMMA.41,PMMA.42,PMMA.43,PMMA.44,PMMA.45,PMMA.46,PMMA.47,PMMA.48,PMMA.49,PMMA.50,PMMA.51,PMMA.52,PMMA.53,PMMA.54,PMMA.55,PMMA.56,PMMA.57,PMMA.58,PMMA.59,PMMA.60,PMMA.61,PMMA.62,PMMA.63,PMMA.64,PMMA.65,PMMA.66,PMMA.67,PMMA.68,PMMA.69,PMMA.70,PMMA.71,PMMA.72,PMMA.73,PMMA.74,PMMA.75,PMMA.76,PMMA.77,PMMA.78,PMMA.79,PMMA.80,PMMA.81,PMMA.82,PMMA.83,PMMA.84,PMMA.85,PMMA.86,PMMA.87,PMMA.88,PMMA.89,PMMA.90,PMMA.91,PMMA.92,PMMA.93,PMMA.94,PMMA.95,PMMA.96,PMMA.97,PMMA.98,PMMA.99,PMMA.100,PMMA.101,PMMA.102,PMMA.103,PMMA.104,PMMA.105,PMMA.106,PMMA.107,PMMA.108,PMMA.109,PMMA.110,PMMA.111,PMMA.112,PMMA.113,PMMA.114,PVC.3,PVC.4,PVC.5,PVC.6,PVC.7,PVC.8,PVC.9,PVC.10,PVC.11,PVC.12,PVC.13,PVC.14,PVC.15,PVC.16,PVC.17,PVC.18,PVC.19,PVC.20,PVC.21,PVC.22,PVC.23,PVC.24,PVC.25,PVC.26,PVC.27,PVC.28,PVC.29,PVC.30,PVC.31,PVC.32,PVC.33,PVC.34,PVC.35,PVC.36,PVC.37,PVC.38,PVC.39,PVC.40,PVC.41,PVC.42,PVC.43,PVC.44,PVC.45,PVC.46,PVC.47,PVC.48,PVC.49,PVC.50,PVC.51,PVC.52,PVC.53,PVC.54,PVC.55,PVC.56,PVC.57,PVC.58,PVC.59,PVC.60,PVC.61,PVC.62,PVC.63,PVC.64,PVC.65,PVC.66,PVC.67,PVC.68,PVC.69,PA6.3,PA6.4,PA6.5,PA6.6,PA6.7,PA6.8,PA6.9,PA66.3,PA66.4,PA66.5,PA66.6,PA66.7,PA66.8,PA66.9,PA66.10,PA66.11,PA66.12,PA66.13,PA66.14,PA66.15,PA66.16,PA66.17,PA66.18,PA66.19,PC.3,PC.4,PC.5,PC.6,PC.7,PC.8,PC.9,PC.10,PC.11,PC.12,PC.13,ABS.3,ABS.4,PP.25,PP.3,PP.4,PP.5,PP.6,PP.7,PP.8,PP.9,PP.10,PP.11,PP.12,PP.13,PP.14,PP.15,PP.16,PP.17,PP.18,PP.19,PP.20,PP.21,PP.22,PP.23,PP.24,PET.3,PET.4,PET.5,PET.6,PET.7,PET.8,PET.9,PET.10,PET.11,PET.12,PET.13,PET.14,PET.15,PET.16,PET.17,PS.3,PS.4,PS.5,PS.6,PS.7,PS.8,PS.9,PS.10,PS.11,PS.12,PS.13,PS.14
1550.0,54406,54952,49936,51005,48410,49854,36346,52560,64437,60651,61510,1418,664,544,161,185,116,218,250,264,64754,64661,64692,59547,58624,61641,59929,61678,63619,52982,51005,53484,63665,62353,63012,55388,54916,54965,55595,50182,55815,55953,55323,54465,49737,56670,54962,19759,16868,18938,15538,8616,42134,54849,55741,55251,55260,53740,52823,60553,52714,53562,54822,54508,55165,40570,54725,64421,48253,60823,60770,62061,62173,62011,60581,60050,60188,59899,59734,61216,59203,61036,59970,55103,26453,50255,31566,33302,27855,1826,1746,1313,1220,875,60609,60640,60775,61712,60329,57965,54663,59134,58890,51248,45250,15160,30413,45172,31572,58621,56636,56531,55287,61005,57349,58686,56351,53363,38243,60928,59480,59416,60645,59456,61271,63925,53204,58104,48681,58516,59050,58593,57267,54319,55254,59006,50017,50472,51486,60115,58932,58858,59347,56102,57634,58295,56137,58129,55324,813,313,617,191,452,129,718,6883,1422,511,64983,65101,63916,64009,64164,64971,64376,63923,64457,60010,1057,2804,1135,667,725,979,1607,1090,963,61138,1271,32,49765,53446,41322,44679,47556,49642,52356,50383,49183,51224,50420,54669,57969,54513,48293,48681,63402,61152,63711,63378,62006,63099,63405,63428,63685,63583,63616,63638,63636,63019,58736,63453,62118,63274,62577,63271,63158,63414,63879,63586,63432,63427,63619,63311,63367,3153,1889,3255,461,646,27800,3119,1566,697,461,62811,63152,63328,62966,62465,63269,63589,63370,62886,62738,0,17,0,0,242,499,70,0,0,0,0,446,368,0,1188,433,102,0,0,1104,1035,1195,497,322,64635,64563,64769,64622,64634,64514,64864,64579,64533,64555,64490,58797,56961,64527,59983,59286,61102,45372,60024,59350,52990,58931,54476,60113,60705,60311,38977,53366,45711,36636,41215,1042,951,2000,2240,809,52762,58948,59624,58042,49733,57990,40720,31161,2418,2439,1160,38949,60172,47894,38931,63441,60915,61417,53737,56497,55746,58750,58460,62244,62040,58997,54219
1553.1496062992126,54428,54750,49856,50214,47068,48883,35451,51117,64844,60898,61839,175,0,0,0,0,0,0,0,0,64770,64695,64724,60213,59345,62287,59816,61797,63670,53246,51274,53669,63977,62253,63142,55337,54896,54998,55550,50138,55769,55856,55308,54514,49754,56599,54908,16983,14017,15586,13032,6201,43039,55356,56231,55751,55755,54220,53322,59994,53220,54054,55333,55011,55650,40144,55241,64770,48371,61131,61070,62373,62489,62320,60907,60363,60485,60219,60056,61227,58636,61049,60004,55318,26281,50405,31769,33414,27595,499,559,296,309,106,60929,60950,61090,62035,60652,58367,54655,59217,59056,51615,44596,14371,29742,44753,31225,59355,57345,57309,56505,61823,57506,58612,56418,52847,38044,61255,59786,59724,60967,59767,61274,64000,53321,58838,48948,58871,59381,59030,57512,54674,55437,59249,50226,50644,51843,59653,58459,58342,59029,55696,57403,58049,55771,57758,55020,0,0,0,0,0,0,0,6200,192,0,65314,65458,64224,64314,64510,65269,64736,64303,64809,60222,92,945,0,0,0,0,341,0,0,61027,59,0,49834,53641,41508,44843,47893,49979,52877,50920,49603,51773,51066,54797,58057,54820,48601,49069,63384,61288,63660,63436,62089,63090,63181,63453,63761,63573,63560,63653,63696,63053,58868,63520,61941,63230,62388,63335,63194,63394,63715,63585,63300,63458,63682,63302,63408,1313,479,606,0,0,23895,1642,0,0,0,62764,63181,63281,62901,62406,63186,63620,63319,62867,62652,104,0,0,15,0,0,0,68,288,647,249,0,0,90,0,0,0,142,68,4,0,21,0,0,64672,64607,64804,64664,64671,64555,64904,64616,64570,64596,64537,59393,57560,64573,60106,59399,60821,45437,59810,59347,53178,58944,53965,59971,60726,60226,38337,53209,45228,36083,40817,0,0,449,606,0,52997,58916,59563,58131,48909,58036,36164,26846,38,616,0,38713,60246,47385,38766,63689,61230,61756,53360,56162,55499,59014,55867,60070,60034,56579,51751
1556.2992125984251,54691,54800,50364,49345,45481,47705,34803,49508,65036,60960,62000,0,604,1110,284,433,602,613,536,958,64681,64637,64659,61080,60322,63014,59796,61885,63602,53581,51650,53838,64377,62308,63451,55435,55038,55286,55742,50552,55898,55923,55534,54814,50290,56685,55038,13529,10659,11785,9974,3996,44445,56079,56935,56475,56474,54956,54080,59708,53986,54811,56073,55743,56355,40839,55992,64902,48566,61332,61256,62575,62694,62514,61146,60584,60696,60450,60296,61089,58162,60973,60032,55591,26544,50572,32457,33871,27840,0,0,0,0,0,61145,61150,61298,62251,60878,58660,54832,59211,58958,52160,44252,14674,29701,44729,31553,59773,57938,57941,57480,62302,57562,58401,56546,51827,38628,61495,60008,59947,61205,59998,61236,63934,53699,59468,49742,59221,59652,59415,57827,55176,55767,59410,50721,51063,52556,59110,57969,57789,58761,55455,57250,57863,55526,57426,54935,303,977,482,1167,1496,1833,685,6692,0,1169,65382,65535,64382,64471,64703,65305,64904,64545,64975,60617,0,0,377,749,1166,255,0,27,146,60829,0,1148,50122,54005,42228,45464,48649,50725,53576,51716,50234,52562,51951,55036,58346,55281,49222,49850,63420,61608,63639,63580,62347,63166,62954,63541,63881,63610,63512,63688,63790,63183,59267,63657,61904,63255,62307,63464,63318,63425,63494,63622,63168,63555,63802,63366,63529,224,0,0,1031,1278,19225,1133,148,1003,1561,62822,63283,63286,62917,62474,63134,63683,63292,62950,62669,950,1217,535,629,366,215,657,1094,2082,1764,1966,946,1211,1464,141,617,841,1256,1310,0,158,0,153,369,64619,64562,64745,64614,64617,64513,64853,64564,64521,64548,64500,60264,58566,64532,60267,59696,60779,45732,59805,59516,53797,59020,53827,59875,60776,60232,38237,53234,45153,36306,41167,302,582,0,0,689,53334,58742,59368,58114,48449,57960,31279,23175,0,0,519,39349,60280,47494,39505,64075,61868,62322,53636,56217,55679,59730,52971,57320,57469,53763,49390
1559.4488188976377,55153,55070,51354,48517,43835,46495,34508,47909,65064,60886,62038,878,2373,3646,1024,1452,1860,2011,1843,3027,64539,64534,64547,62065,61457,63759,59897,61980,63474,54049,52202,54091,64804,62477,63880,55666,55323,55783,56128,51341,56179,56137,55957,55315,51247,56907,55325,9740,7143,7890,6706,2124,46232,56946,57779,57347,57342,55862,55012,59665,54929,55746,56966,56630,57207,42481,56901,64862,48845,61461,61365,62704,62825,62633,61329,60744,60852,60622,60482,60876,57818,60862,60091,55955,27300,50778,33649,34716,28641,354,128,443,350,622,61290,61277,61431,62393,61041,58890,55194,59171,58696,52895,44265,16053,30325,45119,32548,59964,58456,58478,58269,62523,57587,58141,56761,50475,39931,61675,60174,60115,61387,60175,61204,63775,54342,60032,51005,59587,59905,59778,58231,55835,56249,59539,51469,51716,53580,58566,57528,57272,58579,55407,57198,57765,55430,57181,55080,1667,3082,1961,3509,4666,5429,2745,8328,893,3903,65241,65384,64423,64510,64776,65133,64914,64675,64993,61167,799,53,2171,2757,4012,1651,618,1117,1380,60629,1070,3406,50636,54542,43446,46517,49782,51828,54427,52730,51064,53556,53031,55406,58820,55889,50141,50965,63502,62076,63649,63788,62740,63309,62733,63676,64032,63681,63473,63737,63909,63390,59873,63848,61983,63332,62317,63640,63503,63490,63229,63684,63033,63696,63959,63479,63706,0,479,1270,3360,4213,14277,1656,1841,3524,4853,62961,63436,63326,62992,62646,63103,63765,63279,63108,62762,2459,3489,1594,1828,1315,1138,1984,3021,5153,3410,4935,3152,3808,3957,1546,2210,2575,3250,3604,1065,1443,1069,986,1444,64525,64477,64639,64522,64520,64432,64757,64470,64432,64461,64424,61316,59854,64452,60496,60165,60964,46250,60007,59854,54792,59191,54062,59866,60887,60351,38716,53482,45516,37272,42238,1847,2553,659,438,2723,53826,58531,59146,58065,48372,57851,26479,20430,2084,524,2567,40796,60323,48177,41044,64533,62714,63033,54418,56608,56216,60769,49918,54201,54528,50693,47186
1562.5984251968505,55762,55520,52686,47877,42367,45471,34686,46542,64989,60741,62008,2775,5155,7301,2224,3001,3681,4123,3892,6048,64409,64445,64448,63066,62625,64448,60149,62126,63356,54723,53006,54542,65184,62710,64356,56010,55729,56427,56660,52393,none,56477,56518,55956,52492,57236,55737,6055,3908,4348,3664,739,48246,57869,58669,58271,58267,56832,56014,59819,55943,56748,57916,57578,58110,44837,57871,64708,49213,61564,61447,62807,62932,62725,61493,60882,60993,60774,60650,60680,57647,60781,60223,56447,28613,51050,35363,35998,30053,1582,1013,1645,1423,2040,61409,61376,61533,62509,61181,59112,55742,59162,58401,53828,44693,18475,31648,45939,34191,60041,58950,58987,58946,62588,57668,57941,57100,49019,41860,61833,60320,60264,61552,60335,61237,63580,55246,60576,52654,59994,60191,60155,58743,56657,56889,59698,52428,52588,54849,58116,57215,56879,58529,55586,57270,57784,55517,57079,55464,4005,6092,4294,6779,9140,10501,6116,11052,2913,8028,64956,65076,64389,64469,64769,64823,64813,64725,64911,61828,2505,1197,5236,5811,8241,4055,2223,3186,3654,60527,3224,6664,51380,55256,45112,47967,51231,53214,55393,53905,52073,54704,54247,55928,59458,56633,51329,52339,63622,62640,63692,64033,63218,63496,62532,63839,64195,63768,63446,63791,64038,63654,60612,64073,62146,63441,62396,63841,63716,63565,62945,63752,62893,63852,64127,63611,63911,766,1942,4182,6728,8440,9671,3279,4846,7313,9478,63149,63611,63383,63097,62889,63080,63849,63268,63307,62898,4521,6568,3151,3587,2803,2744,3899,5763,9192,5643,8866,6429,7524,7339,4108,4665,5119,5994,6775,3153,3754,3138,2527,3230,64446,64408,64545,64444,64437,64369,64673,64393,64362,64389,64366,62428,61267,64387,60819,60787,61352,46980,60410,60350,56085,59495,54657,59992,61091,60605,39809,53997,46345,38927,43979,4490,5709,2416,1927,5887,54532,58409,59025,58074,48691,57815,22286,18947,5976,2092,5922,42958,60431,49368,43234,64978,63629,63788,55515,57263,57017,61968,46902,50980,51448,47564,45205
1565.748031496063,56460,56106,54203,47574,41323,44850,35447,45630,64879,60589,61968,5624,8762,11723,3877,5010,5951,6848,6624,9820,64349,64423,64416,63979,63699,65005,60574,62360,63315,55659,54119,55290,65445,62958,64806,56447,56231,57155,57283,53591,57077,56923,57156,56673,53887,57644,56242,2943,1406,1619,1300,0,50319,58756,59510,59151,59150,57759,56978,60122,56922,57706,58825,58490,58968,47640,58803,64502,49669,61689,61550,62934,63062,62841,61677,61036,61157,60943,60835,60593,57687,60799,60471,57103,30538,51413,37596,37756,32114,3684,2704,3607,3264,4296,61546,61496,61648,62642,61341,59387,56468,59254,58208,54960,45574,21868,33684,47185,36442,60125,59474,59531,59586,62605,57893,57913,57591,47696,44296,62006,60484,60431,61739,60511,61392,63410,56395,61145,54584,60468,60557,60584,59380,57640,57689,59950,53550,53653,56290,57854,57106,56697,58651,56011,57486,57947,55812,57172,56085,7205,9754,7311,10698,14491,16697,10683,14779,6069,13313,64600,64684,64323,64386,64721,64450,64650,64727,64778,62553,5112,3485,9379,9661,13496,7298,4808,6123,6885,60616,6378,10782,52351,56139,47155,49755,52919,54793,56430,55176,53232,55945,55530,56618,60228,57495,52744,53880,63770,63246,63769,64285,63727,63704,62362,64007,64349,63853,63435,63845,64164,63948,61402,64313,62358,63561,62517,64043,63923,63627,62666,63812,62747,63996,64281,63732,64116,2622,4393,8440,10834,13538,6048,6040,8887,12067,14979,63354,63778,63437,63205,63171,63054,63915,63248,63512,63042,7009,10171,5168,5860,4769,4980,6295,9201,13842,8500,13422,10550,12044,11345,7689,7833,8357,9329,10613,6186,6958,6081,4777,5705,64434,64405,64515,64431,64421,64373,64649,64383,64361,64384,64375,63478,62637,64389,61261,61527,61908,47900,60994,60986,57581,59959,55584,60290,61415,61006,41528,54810,47650,41189,46303,8045,9803,5224,4439,9917,55488,58490,59125,58218,49397,57952,19223,19025,11281,4581,10303,45701,60653,50975,45892,65330,64468,64484,56733,58103,57983,63155,44125,47949,48483,44587,43509
1568.8976377952756,57199,56788,55761,47725,40916,44813,36856,45353,64791,60486,61968,9312,12976,16560,5955,7387,8539,10063,9950,14115,64400,64502,64487,64717,64571,65376,61172,62706,63401,56874,55557,56387,65535,63181,65168,56962,56811,57909,57952,54826,57635,57455,57821,57412,55299,58108,56810,823,22,90,0,38,52292,59529,60224,59904,59912,58548,57814,60527,57775,58525,59609,59284,59702,50621,59612,64296,50202,61874,61716,63123,63256,63020,61912,61238,61376,61162,61067,60694,57964,60970,60868,57943,33100,51884,40316,39999,34828,6618,5214,6305,5877,7375,61738,61674,61811,62830,61553,59766,57359,59505,58237,56275,46916,26119,36408,48827,39238,60320,60072,60162,60254,62673,58331,58147,58258,46720,47099,62225,60696,60646,61979,60731,61710,63315,57753,61770,56672,61026,61041,61091,60143,58765,58637,60344,54787,54877,57821,57849,57252,56786,58968,56683,57851,58265,56324,57488,56921,11124,13812,10833,14987,20285,23623,16270,19384,10308,19473,64236,64277,64260,64294,64666,64077,64466,64709,64638,63290,8575,6906,14366,14046,19386,11189,8312,9790,10944,60958,10403,15585,53534,57177,49482,51804,54754,56473,57492,56475,54505,57218,56813,57475,61092,58446,54328,55493,63938,63840,63881,64518,64216,63909,62236,64163,64479,63918,63445,63894,64275,64250,62169,64548,62588,63675,62656,64226,64098,63657,62417,63851,62597,64104,64401,63817,64296,5599,7796,13703,15375,19077,3954,9918,13668,17467,20886,63545,63913,63471,63288,63460,63015,63952,63209,63690,63162,9784,14011,7587,8578,7133,7757,9051,13180,18737,11972,18257,15258,17040,15689,12113,11536,12135,13075,14885,10044,10892,9742,7702,8805,64520,64499,64583,64517,64504,64475,64718,64473,64460,64479,64479,64361,63820,64488,61826,62342,62583,48977,61724,61729,59171,60593,56793,60781,61871,61553,43841,55925,49406,43942,49082,12297,14561,8980,7896,14525,56695,58849,59520,58549,50447,58323,17710,20848,17547,7840,15383,48854,61016,52880,48815,65525,65108,65035,57904,59053,59022,64180,41777,45374,45864,41967,42151
1572.0472440944882,57939,57533,57235,48397,41287,45460,38910,45815,64764,60467,62038,13681,17567,21487,8400,10029,11304,13621,13744,18694,64570,64686,64666,65226,65173,65535,61916,63160,63631,58337,57275,57819,65426,63360,65410,57543,57454,58646,58632,56009,58235,58060,58473,58136,56627,58614,57423,0,0,0,18,936,54040,60139,60761,60479,60501,59143,58462,60988,58442,59143,60215,59907,60260,53536,60243,64128,50786,62140,61966,63397,63535,63286,62218,61508,61667,61447,61362,61032,58481,61323,61427,58965,36277,52468,43449,42694,38143,10293,8495,9674,9208,11185,62006,61934,62043,63095,61836,60284,58387,59950,58566,57736,48677,31063,39747,50798,42481,60699,60771,60906,60992,62861,59019,58694,59103,46245,50110,62509,60974,60927,62289,61012,62205,63325,59256,62462,58789,61672,61655,61691,61020,59996,59707,60907,56095,56215,59361,58127,57671,57169,59475,57568,58351,58728,57033,58024,57926,15593,18029,14679,19398,26122,30869,22632,24704,15499,26183,63911,63904,64221,64212,64621,63752,64294,64686,64519,63988,12796,11346,19924,18719,25519,15523,12601,14027,15647,61566,15117,20876,54895,58337,51987,54015,56639,58158,58535,57738,55848,58458,58037,58480,62001,59452,56009,57087,64119,64378,64025,64714,64647,64094,62160,64292,64574,63952,63481,63936,64366,64540,62854,64764,62806,63768,62792,64377,64222,63643,62222,63862,62448,64162,64474,63849,64432,9630,12061,19610,20071,24657,3746,14809,18900,23194,26763,63698,63998,63475,63329,63737,62956,63952,63146,63817,63236,12713,17821,10335,11641,9795,10943,12035,17516,23541,15983,23046,20290,22197,20098,17168,15572,16270,17043,19355,14565,15366,13938,11210,12417,64709,64695,64754,64704,64691,64678,64880,64667,64662,64676,64683,65008,64717,64688,62495,63176,63316,50163,62547,62534,60745,61378,58210,61454,62448,62222,46658,57306,51541,47042,52148,17012,19703,13519,12155,19414,58100,59502,60226,59073,51755,58941,17986,24412,24295,11698,20812,52215,61515,54947,51796,65535,65471,65390,58916,60051,60060,64941,39996,43461,43762,39869,41159
1575.1968503937007,58659,58315,58540,49589,42485,46796,41527,47018,64810,60541,62185,18521,22299,26237,11130,12818,14107,17362,17847,23317,64835,64947,64926,65490,65485,65488,62754,63696,63991,59960,59169,59496,65130,63492,65525,58185,58149,59338,59304,57084,58861,58728,59097,58828,57802,59159,58071,616,1403,1399,1432,2705,55482,60570,61109,60862,60902,59526,58904,61474,58905,59544,60628,60340,60631,56189,60677,64010,51382,62486,62302,63754,63898,63638,62592,61846,62030,61799,61718,61612,59210,61855,62132,60140,39986,53148,46878,45762,41946,14560,12435,13605,13137,15558,62348,62273,62345,63434,62189,60950,59514,60597,59224,59282,50764,36479,43566,52993,46043,61291,61571,61757,61813,63202,59947,59555,60105,46339,53166,62860,61318,61273,62668,61351,62857,63441,60817,63206,60800,62393,62385,62377,61974,61275,60859,61631,57434,57612,60835,58666,58333,57819,60135,58602,58948,59302,57891,58741,59029,20422,22205,18680,23731,31674,38037,29455,30532,21424,33092,63646,63590,64205,64144,64588,63493,64143,64659,64431,64599,17623,16590,25760,23457,31531,20091,17464,18653,20765,62394,20292,26442,56385,59575,54549,56272,58476,59765,59520,58912,57209,59612,59151,59592,62903,60470,57704,58581,64308,64827,64198,64861,64994,64249,62133,64385,64629,63949,63546,63971,64434,64806,63423,64954,62991,63832,62908,64487,64288,63583,62095,63844,62306,64164,64494,63824,64518,14536,17037,25794,24688,29946,5524,20516,24312,28955,32246,63800,64028,63444,63318,63988,62876,63914,63060,63881,63249,15675,21383,13315,14929,12641,14367,15113,22003,27975,20388,27518,25390,27237,24330,22619,19730,20553,21048,23796,19547,20172,18464,15160,16377,64970,64962,65000,64965,64954,64950,65108,64936,64937,64946,64956,65392,65284,64958,63228,63964,64037,51402,63394,63346,62200,62266,59739,62263,63109,62968,49832,58875,53940,50317,55297,21950,24959,18615,17007,24303,59600,60393,61182,59744,53196,59756,20046,29502,31054,15969,26236,55560,62110,57024,54639,65364,65535,65535,59722,61047,61049,65388,38859,42323,42268,38397,40530
1578.3464566929133,59352,59120,59635,51228,44451,48723,44551,48862,64912,60684,62387,23582,26951,30617,14033,15634,16821,21116,22071,27764,65137,65228,65209,65535,65535,65277,63608,64261,64431,61610,61083,61265,64687,63594,65535,58885,58894,59977,59962,58027,none,59450,59689,59493,58800,59744,58751,2634,4103,4136,4129,5275,56592,60841,61297,61077,61139,59725,59165,61958,59187,59754,60871,60604,60840,58446,60937,63930,51938,62888,62699,64169,64319,64049,63015,62230,62442,62196,62115,62392,60094,62524,62941,61405,44085,53891,50447,49075,46066,19222,16854,17945,17479,20251,62742,62669,62695,63825,62588,61745,60686,61416,60180,60833,53034,42105,47674,55271,49760,62072,62446,62677,62693,63682,61063,60673,61218,46976,56101,63258,61709,61665,63094,61728,63609,63636,62328,63959,62580,63155,63186,63118,62949,62525,62033,62476,58765,59003,62174,59391,59162,58661,60881,59687,59586,59930,58822,59560,60137,25404,26190,22684,27844,36703,44767,36378,36625,27784,39845,63433,63333,64193,64072,64545,63291,64007,64614,64360,65083,22845,22320,31572,28079,37109,24689,22631,23474,26032,63345,25660,32065,57938,60832,57044,58454,60173,61221,60414,59954,58534,60632,60122,60751,63742,61453,59327,59915,64500,65169,64390,64955,65248,64367,62147,64439,64647,63906,63640,64002,64480,65037,63863,65113,63130,63867,62994,64558,64302,63480,62043,63802,62178,64115,64465,63746,64554,20033,22516,31910,29054,34701,9113,26752,29669,34501,37074,63845,64005,63380,63252,64211,62776,63844,62953,63877,63200,18564,24541,16420,18299,15546,17833,18152,26428,31842,24984,31472,30327,31940,28191,28209,23798,24765,24918,28010,24757,25094,23106,19358,20481,65247,65243,65264,65243,65234,65236,65344,65223,65227,65230,65240,65535,65535,65240,63961,64643,64674,52633,64187,64103,63445,63185,61269,63139,63797,63727,53167,60521,56451,53585,58309,26876,30083,23985,22187,28945,61050,61406,62267,60475,54619,60668,23645,35692,37388,20459,31329,58669,62726,58960,57170,65055,65330,65493,60346,62008,61964,65535,38366,41971,41380,37583,40225
