Wavelength (nm),ABS_mean,ABS_std,HDPE_mean,HDPE_std,LDPE_mean,LDPE_std,PA6_mean,PA6_std,PA66_mean,PA66_std,PC_mean,PC_std,PET_mean,PET_std,PETG_mean,PETG_std,PLA_mean,PLA_std,PMMA_mean,PMMA_std,POM_mean,POM_std,PP_mean,PP_std,PS_mean,PS_std,PVC_mean,PVC_std,TPU_mean,TPU_std
1550.0,48632.71428571428,7367.01938269705,37734.61224489796,19146.04088110841,51636.71428571428,5313.251566045187,47.77777777777778,109.6666103793619,239.41935483870967,377.38854575106,64205.53191489362,340.3293055490257,46742.0,21316.36685912323,54026.92307692308,8858.28501774589,34617.0,23147.508505236583,44850.51048951049,21683.723065243423,42271.8125,5027.686138010581,40196.666666666664,21613.73261892129,53156.416666666664,11976.35356389832,43701.22680412371,23580.98716903272,30662.266666666666,5563.622195017279
1553.1496062992126,49502.57142857143,7248.647601754535,37814.26530612245,19229.69123970821,51743.333333333336,5668.622612016107,573.6296296296297,442.4006185237914,411.741935483871,483.3493338818167,64261.59574468085,326.91619458167656,46681.763636363634,21380.05558285456,54380.88461538462,8681.698049641436,35383.318181818184,22921.096511900367,44928.36363636364,22051.518274971564,43148.25,4925.991289831926,40458.183333333334,21647.633578516667,53278.916666666664,11739.916662525997,43776.34020618557,23730.213081741986,31609.133333333335,5390.532921912473
1556.2992125984251,51071.04761904762,6803.601325601936,38575.63265306123,19012.60512772006,52062.47619047619,6039.261344135261,2259.4074074074074,1316.5673171873404,1860.032258064516,1465.5591795068653,64246.97872340425,299.9327931360129,47005.89090909091,20713.554263878632,54989.38461538462,8084.6709845852165,37316.13636363636,21852.784639066136,45331.82517482517,21959.57800469448,44510.4375,4729.869870947165,41412.38333333333,21105.75268506327,53866.694444444445,11115.71837739355,44403.49484536082,23333.57817559873,33379.6,5090.050226340274
1559.4488188976377,53155.19047619047,6096.3905372578,39903.32653061225,18667.4565644936,52565.80952380953,6438.21450861626,4924.925925925926,2460.111423642282,4427.806451612903,2640.143219714328,64204.8085106383,262.7427054920292,47716.38181818182,19498.177040655883,55843.807692307695,7153.491966107993,40166.22727272727,20100.39389015191,46052.51748251748,21456.7209728569,46263.375,4459.105794256849,42967.683333333334,20102.49771172036,54798.97222222222,10298.051758804,45506.26804123711,22482.58049838359,35830.46666666667,4692.4558867280675
1562.5984251968505,55519.09523809524,5212.810638497668,41646.22448979592,18348.329188534546,53215.47619047619,6823.4209379937965,8327.703703703704,3733.7096319762477,7899.129032258064,3859.3755448587667,64186.02127659575,220.04607731802707,48804.836363636365,17949.00472375065,56923.653846153844,6001.662897399659,43607.181818181816,17874.007345956466,47074.13986013986,20606.678472251675,48282.5,4139.5319179829985,44997.13333333333,18776.579377393413,55921.75,9513.094932118569,46981.257731958765,21285.26008902136,38768.933333333334,4240.929009335363
1565.748031496063,57911.57142857143,4247.786813898095,43634.02040816326,18121.093788776227,53969.666666666664,7106.035123372468,12192.407407407407,4988.031224910875,12019.322580645161,4968.414892206872,64235.27659574468,176.538309039777,50240.90909090909,16269.857849602773,58190.769230769234,4754.600123181859,47283.0,15407.057317405493,48368.52447552448,19478.93187391704,50432.1875,3797.8014235006744,47349.5,17266.318740542236,57074.166666666664,8949.653827880098,48709.092783505155,19845.756946642417,41975.86666666667,3781.4218642668734
1568.8976377952756,60105.28571428572,3293.333658321612,45708.77551020408,17947.621875625213,54788.19047619047,7185.899762193336,16241.962962962964,6087.584879514611,16518.225806451614,5828.298272691872,64379.234042553195,136.02506226614577,51964.0,14611.976167762961,59585.269230769234,3532.8270174475147,50857.954545454544,12925.573750153651,49892.77622377622,18141.45139389892,52584.0,3455.8147555967175,49862.88333333333,15687.826759509708,58116.13888888889,8677.714036390951,50567.113402061856,18249.40565046948,45232.46666666667,3354.037246198809
1572.0472440944882,61929.52380952381,2427.267238981548,47733.95918367347,17712.918714488842,55636.57142857143,6988.183656453694,20226.40740740741,6930.847563258791,21133.09677419355,6342.60510411643,64616.72340425532,101.05753619821536,53879.87272727273,13053.633593830626,61025.38461538462,2436.6876804529147,54058.72727272727,10619.90859908373,51587.0,16659.09720729901,54632.0625,3127.3032006177064,52378.11666666667,14123.079509667461,58949.22222222222,8625.60909962341,52440.83505154639,16558.025852671584,48343.666666666664,2983.4380093368045
1575.1968503937007,63290.95238095238,1705.1440234154911,49613.30612244898,17296.951018573825,56488.71428571428,6486.441089966474,23947.074074074073,7464.217355842055,25629.709677419356,6474.928980522455,64916.255319148935,71.84808680883322,55863.94545454546,11610.639478776167,62412.57692307692,1535.2200086150751,56704.90909090909,8626.122682711513,53374.82517482517,15094.757342705794,56503.25,2817.617311222374,54753.0,12620.749368929459,59529.63888888889,8648.717863079724,54233.072164948455,14817.671163382332,51159.6,2675.5826231558117
1578.3464566929133,64180.142857142855,1158.0170771713208,51294.663265306124,16629.92861587995,57328.04761904762,5711.057099014912,27269.40740740741,7686.917516670337,29817.58064516129,6256.945811548766,65219.8085106383,46.775442865125385,57772.05454545454,10271.224978582697,63642.03846153846,860.7339212184534,58720.954545454544,7015.9083677886365,55165.832167832166,13512.577792087523,58160.75,2525.0857534943243,56873.01666666667,11207.876122756514,59868.305555555555,8622.403576405686,55869.81443298969,13070.833592021098,53587.26666666667,2419.096069930989
